Era,Title,Region,Composer/Artist,Year,YouTube,Wikipedia,Spotify,Lyrics
Ancient,The Epic of Gilgamesh,Sumerian,,2100 BC,https://youtu.be/FTG5lhtJ5rE,https://en.wikipedia.org/wiki/Epic_of_Gilgamesh,,
Ancient,Hymn of Lipit Ishtar,Sumerian,,1950 BC,https://youtu.be/JX129g7QJTI,https://en.wikipedia.org/wiki/Lipit-Ishtar,,
Ancient,Ancient Egyptian Love Song,,,1500 BC,,,,
Ancient,Hurrian Hymn No. 6 to Nikkal,,,1400 BC,https://youtu.be/QpxN2VXPMLc,https://en.wikipedia.org/wiki/Hurrian_songs,,
Ancient,Sāmaveda: Of the Vedas I am the Sama,India,,1100 BC,,https://en.wikipedia.org/wiki/Samaveda,,
Ancient,Ancient Celtic Pipe Music,,,1000 BC,,,,
Ancient,Hebrew Chanting Psalm 95,,,900 BC,https://youtu.be/HEfF8fr5stY,https://en.wikipedia.org/wiki/Psalm_95,,
Ancient,The Illiad,Greece,By Homer,800 BC,https://youtu.be/qI0mkt6Z3I0,https://en.wikipedia.org/wiki/Iliad,,
Ancient,You Lan,China,,500 BC,https://youtu.be/YPqX2rgCAok,,,
Ancient,Stasimon Chorus from Orestes,Greece,By Euripides,400 BC,https://youtu.be/3cZyv7UgbOOY,,,
Ancient,Traditional Chinese Music at Han Dynasty,China,,300 BC,,,,
Ancient,Seikilos Epitaph,Greece,,200 BC,https://youtu.be/mGfOHoun0OQ,https://en.wikipedia.org/wiki/Seikilos_epitaph,,
Ancient,Ancient Roman Lyre Music,Italy,,100 BC,https://youtu.be/COpe-Nq6QaY,,,
Ancient,Flaccus - Unnamed Roman Song,Italy,,0 AD,https://youtu.be/D01lgDlbsy0,,,
Ancient,Mesomedes of Crete - Hymn to Nemesis,Greece,,100 AD,https://youtu.be/U7DnGQqlVsI,,,
Ancient,Oxyrhynchus Hymn (Earliest Christian Tune),,,250 AD,https://youtu.be/ksqqcBanAhs,,,
Ancient,Te Deum (Christian Hymn),,,400 AD,https://youtu.be/mkzzqcuMpEs,,,
Medieval,Kyrie Eleison,Greece,Byzantine Chant,500 AD,https://youtu.be/ZXF1XXR-VkY,https://www.christianity.com/wiki/christian-terms/kyrie-eleison-meaning-and-use-in-christianity.html,,
Medieval,Hymn of the Nativity,Greece,By St. Romanos the Melodist,600 AD,https://youtu.be/MvjiVam2HO4,,,
Medieval,Christmas Gradual Viderunt Omnes,,,700 AD,,,,
Medieval,Musica Enchiriadis (Organum),,,800 AD,https://youtu.be/E6CVxtPcW78,https://en.wikipedia.org/wiki/Musica_enchiriadis,,
Medieval,O Aggelos Eboa,Greece,Byzantine Chant,900 AD,https://youtu.be/XKx4ZElfHuk,,,
Medieval,Tempus est Iocundum "Codex Buranus. 179",,,1000 AD,https://youtu.be/x9fBEOC3ujw,,,
Medieval,Salve Regina (Gregorian Chant),,,1050 AD,https://youtu.be/Tu7LIZJqA5M,https://en.wikipedia.org/wiki/Salve_Regina,,
Medieval,Pos de Chantar M'es Pres Talenz,,By William IX,1100 AD,,,,
Medieval,Ja Nus Hons Pris,UK,By Richard the Lionheart,1150 AD,https://youtu.be/ejYmffwkuqo,,,
Medieval,Organum Duplum,,By Léonin,1200 AD,https://youtu.be/_p9WQlyVPrA,,,
Medieval,Chinggis Khaanii Magtal,Mongolia,,1210 AD,,,,
Medieval,Mirie It Is While Sumer Ilast,England,,1225 AD,https://youtu.be/7UvesKl8_W8,,,
Medieval,Dies Irae,Byzantine Chant,,1250 AD,https://youtu.be/2OBB5-bP6qs,,,
Medieval,Rókatáne,Anonymous Hungarian Dance,,1300 AD,,,,
Medieval,Messe de Nostre Dame,,By Guillaume de Machaut,,https://youtu.be/Y47JdUI_PhE,https://en.wikipedia.org/wiki/Messe_de_Nostre_Dame,,
Medieval,La Rotta,Italy,By Lamento di Tristano,1380 AD,https://youtu.be/TkP2Z73Rm7w,,,
Renaissance,Missa L'homme armé,France,By Guillaume Dufay,1440 AD,https://youtu.be/ibSeyIbNGYA,,,
Renaissance,Salve Regina,France,By Johannes Ockeghem,1450 AD,https://youtu.be/Ospfv3AP1_c,,,
Renaissance,Lamentations of Jeremiah,France,By Johannes Ockeghem,1460 AD,,,,
Renaissance,Alma Redemptoris Mater,Italy,By Josquin des Prez,1470 AD,https://youtu.be/Zo8qYNMwCqM,,,
Renaissance,Ave Maria … Virgo Serena,Italy,By Josquin des Prez,1485 AD,https://youtu.be/7iblmcdCSgU,https://en.wikipedia.org/wiki/Ave_Maria_..._virgo_serena,,
Renaissance,Missa Se la face ay pale,Italy,By Josquin des Prez,1490 AD,,,,
Renaissance,El Grillo,Italy,By Josquin des Prez,1500 AD,https://youtu.be/OI-bQ0RkArA,,,
Renaissance,La Spagna,Italy,Anonymous,1510 AD,,,,
Renaissance,Mille Regretz,France,By Josquin des Prez,1520 AD,https://youtu.be/107gP2moTKM,,,
Renaissance,Tant que vivray,France,By Claudin de Sermisy,1528 AD,https://youtu.be/xxHkPm4TP5c,,,
Renaissance,Il Bianco e Dolce Cigno,Italy,By Jacques Arcadelt,1538 AD,https://youtu.be/juAw5n6rRUc,,,
Renaissance,If Ye Love Me,England,By Thomas Tallis,1549 AD,https://youtu.be/eqt005j1dB0,https://en.wikipedia.org/wiki/If_ye_love_me,,
Renaissance,Missa Papae Marcelli,Italy,By Giovanni Pierluigi da Palestrina,1562 AD,https://youtu.be/3n8XdKkrqgo,https://en.wikipedia.org/wiki/Missa_Papae_Marcelli,,
Renaissance,Spem in Alium,England,By Thomas Tallis,1570 AD,https://youtu.be/iT-ZAAi4UQQ,https://en.wikipedia.org/wiki/Spem_in_alium,,
Renaissance,O Magnum Mysterium,Italy,By Tomas Luis de Victoria,1580 AD,https://youtu.be/9xPh-fXYAc4,,,
Renaissance,"Moro, lasso, al mio duolo",Italy,By Carlo Gesualdo,1590 AD,https://youtu.be/6dVPu71D8VI,,,
Renaissance,Flow My Tears,England,By John Dowland,1600 AD,https://youtu.be/9_HOKhNvLpw,https://en.wikipedia.org/wiki/Flow,_my_tears,,
Baroque,Dido's Lament,England,By Henry Purcell,1600 AD,https://youtu.be/uGQq3HcOB0Y,https://en.wikipedia.org/wiki/Dido%27s_Lament,,
Baroque,L'Orfeo,Italy,By Claudio Monteverdi,1607 AD,https://youtu.be/jb2TURdBeEQ,https://en.wikipedia.org/wiki/L%27Orfeo,,
Baroque,Toccata and Fugue in D minor,Germany,By J.S. Bach,1610 AD,https://youtu.be/ho9rZjlsyYY,https://en.wikipedia.org/wiki/Toccata_and_Fugue_in_D_minor,_BWV_565,,
Baroque,Sacrae Symphoniae,Italy,By Giovanni Gabrieli,1615 AD,https://youtu.be/CBobif_00UA,,,
Baroque,Il Combattimento di Tancredi e Clorinda,Italy,By Claudio Monteverdi,1624 AD,,,,
Baroque,Fiori musicali,Italy,By Girolamo Frescobaldi,1635 AD,https://youtu.be/NZgqivymggQ,https://en.wikipedia.org/wiki/Il_combattimento_di_Tancredi_e_Clorinda,,
Baroque,The Triumph of Peace,UK,By Thomas Brewer,1649 AD,,,,
Baroque,Music for the Funeral of Queen Mary,UK,By Henry Purcell,1695 AD,https://youtu.be/kBP6Yxt5QTI,https://en.wikipedia.org/wiki/Funeral_Sentences_and_Music_for_the_Funeral_of_Queen_Mary,,
Baroque,Canon in D Major,Germany,By Johann Pachelbel,1680 AD,https://youtu.be/NlprozGcs80,https://en.wikipedia.org/wiki/Pachelbel%27s_Canon,,
Baroque,Brandenburg Concerto No. 3,Germany,By J.S. Bach,1721 AD,https://youtu.be/Czsd13Mmcg0,https://en.wikipedia.org/wiki/Brandenburg_Concertos,,
Baroque,The Four Seasons,Italy,By Antonio Vivaldi,1723 AD,https://youtu.be/GRxofEmo3HA,https://en.wikipedia.org/wiki/The_Four_Seasons_(Vivaldi),,
Baroque,St. Matthew Passion,Germany,By J.S. Bach,1727 AD,https://youtu.be/j4Efeafzv9c,https://en.wikipedia.org/wiki/St_Matthew_Passion,,
Baroque,Coronation Anthem Zadok the Priest,UK,By George Frideric Handel,1727 AD,https://youtu.be/5xWhclVLQyI,https://en.wikipedia.org/wiki/Zadok_the_Priest,,
Baroque,Messiah,UK/Ireland,By George Frideric Handel,1742 AD,https://youtu.be/juckXS8PktE,https://en.wikipedia.org/wiki/Messiah_(Handel),,
Baroque,Music for the Royal Fireworks,UK,By George Frideric Handel,1749 AD,https://youtu.be/mEiyiZ6fhqY,https://en.wikipedia.org/wiki/Music_for_the_Royal_Fireworks,,
Classical,Keyboard Concerto in D minor,Austria,By C.P.E. Bach,1760 AD,,,https://en.wikipedia.org/wiki/C._P._E._Bach,
Classical,Symphony No. 25,Austria,By W.A. Mozart,1773 AD,,https://en.wikipedia.org/wiki/Symphony_No._25_(Mozart),,
Classical,Le nozze di Figaro,Austria,By W.A. Mozart,1786 AD,https://youtu.be/lT7iLG-UCdE,https://en.wikipedia.org/wiki/The_Marriage_of_Figaro,,
Classical,Symphony No. 40,Austria,By W.A. Mozart,1788 AD,https://youtu.be/JTc1mDieQI8,https://en.wikipedia.org/wiki/Symphony_No._40_(Mozart),,
Classical,Symphony No. 94 Surprise,Austria,By J. Haydn,1791 AD,https://youtu.be/tF5kr251BRs,https://en.wikipedia.org/wiki/Symphony_No._94_(Haydn),,
Classical,Piano Sonata No. 8 Pathétique,Germany,By L. van Beethoven,1798 AD,https://youtu.be/0E0PzSe7wUU,https://en.wikipedia.org/wiki/Piano_Sonata_No._8_(Beethoven),,
Classical,Symphony No. 1,Germany,By L. van Beethoven,1800 AD,https://youtu.be/example,https://en.wikipedia.org/wiki/Symphony_No._1_(Beethoven),,
Classical,Symphony No. 5,Germany,By L. van Beethoven,1808 AD,https://youtu.be/example,https://en.wikipedia.org/wiki/Symphony_No._5_(Beethoven),,
Classical,Symphony No. 6 Pastoral,Germany,By L. van Beethoven,1808 AD,https://youtu.be/example,https://en.wikipedia.org/wiki/Symphony_No._6_(Beethoven),,
Classical,Piano Concerto No. 5 Emperor,Germany,By L. van Beethoven,1810 AD,https://youtu.be/example,https://en.wikipedia.org/wiki/Piano_Concerto_No._5_(Beethoven),,
Classical,Symphony No. 7,Germany,By L. van Beethoven,1812 AD,https://youtu.be/example,https://en.wikipedia.org/wiki/Symphony_No._7_(Beethoven),,
Classical,Symphony No. 9,Germany,By L. van Beethoven,1820 AD,https://youtu.be/example,https://en.wikipedia.org/wiki/Symphony_No._9_(Beethoven),,
Romantic,Romance in F Major,Austria,By Franz Schubert,1820 AD,,,,
Romantic,Piano Sonata No. 21 Waldstein,Germany,By L. van Beethoven,1825 AD,,,,
Romantic,Symphony No. 3 Eroica,Germany,By L. van Beethoven,1830 AD,,,,
Romantic,Nocturne Op. 9 No. 2,Poland,By Frédéric Chopin,1832 AD,,,,
Romantic,Symphony No. 4,Germany,By Robert Schumann,1841 AD,,,,
Romantic,Liebesträume No. 3,Hungary,By Franz Liszt,1850 AD,,,,
Romantic,Ride of the Valkyries,Germany,By Richard Wagner,1856 AD,,,,
Romantic,The Blue Danube,Austria,By Johann Strauss II,1867 AD,,,,
Romantic,Symphony No. 6 Pathétique,Russia,By Pyotr Ilyich Tchaikovsky,1893 AD,,,,
Romantic,Piano Concerto No. 2,Russia,By Sergei Rachmaninoff,1900 AD,,,,
Popular,Danse Macabre,France,By Camille Saint-Saëns,1900 AD,https://youtu.be/YyknBTm_YyM,,,
Popular,The Rite of Spring,Russia,By Igor Stravinsky,1913 AD,https://youtu.be/kr-wKqy5HnU,https://en.wikipedia.org/wiki/The_Rite_of_Spring,,
Popular,Charleston,USA,By James P. Johnson,1925 AD,https://youtu.be/4ajtCKLTOiM,https://en.wikipedia.org/wiki/Charleston_(1923_song),,
Popular,Over the Rainbow,USA,By Judy Garland,1939 AD,https://youtu.be/YdvV-uKef_A,https://en.wikipedia.org/wiki/Over_the_Rainbow,https://open.spotify.com/track/568SEFtDjKr7N2PytpA6D5,https://genius.com/Judy-garland-over-the-rainbow-lyrics
Popular,White Christmas,USA,By Bing Crosby,1942 AD,https://youtu.be/v5ryZdpEHqM,https://en.wikipedia.org/wiki/White_Christmas_(song),https://open.spotify.com/track/3hScEmuagcQ0TvoJa5oFyI,https://genius.com/Bing-crosby-white-christmas-lyrics
Popular,Rock Around the Clock,USA,By Bill Haley & His Comets,1954 AD,https://youtu.be/ZgdufzXvjqw,https://en.wikipedia.org/wiki/Rock_Around_the_Clock,https://open.spotify.com/track/34AmZ4PMz9iNZVp9AMIGZj,https://www.azlyrics.com/lyrics/billhaleyhiscomets/rockaroundtheclock.html
Popular,I Want to Hold Your Hand,UK,By The Beatles,1963 AD,https://youtu.be/jenWdylTtzs,https://en.wikipedia.org/wiki/I_Want_to_Hold_Your_Hand,https://open.spotify.com/track/4pbG9SUmWIvsROVLF0zF9s,https://genius.com/The-beatles-i-want-to-hold-your-hand-lyrics
Popular,Stayin' Alive,USA,By Bee Gees,1977 AD,https://youtu.be/fNFzfwLM72c,https://en.wikipedia.org/wiki/Stayin%27_Alive,https://open.spotify.com/track/4UDmDIqJIbrW0hMBQMFOsM,https://genius.com/Bee-gees-stayin-alive-lyrics
Popular,Billie Jean,USA,By Michael Jackson,1983 AD,https://youtu.be/Zi_XLOBDo_Y,https://en.wikipedia.org/wiki/Billie_Jean,https://open.spotify.com/track/7J1uxwnxfQLu4APicE5Rnj,https://genius.com/Michael-jackson-billie-jean-lyrics
Popular,Smells Like Teen Spirit,USA,By Nirvana,1991 AD,https://youtu.be/hTWKbfoikeg,https://en.wikipedia.org/wiki/Smells_Like_Teen_Spirit,https://open.spotify.com/track/4CeeEOM32jQcH3eN9Q2dGj,https://genius.com/Nirvana-smells-like-teen-spirit-lyrics
Popular,Crazy in Love,USA,By Beyoncé ft. Jay-Z,2003 AD,https://youtu.be/ViwtNLUqkMY,https://en.wikipedia.org/wiki/Crazy_in_Love,https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,https://genius.com/Beyonce-crazy-in-love-lyrics
Popular,Uptown Funk,USA,By Mark Ronson ft. Bruno Mars,2014 AD,https://youtu.be/OPf0YbXqDm0,https://en.wikipedia.org/wiki/Uptown_Funk,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,https://genius.com/Mark-ronson-uptown-funk-lyrics
Popular,Blinding Lights,Canada,By The Weeknd,2020 AD,https://youtu.be/4NRXx6U8ABQ,https://en.wikipedia.org/wiki/Blinding_Lights,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,https://genius.com/The-weeknd-blinding-lights-lyrics
